split,language,subset_size,repeat,n_items_full,n_models,pearson_r,p_value
original,dan,10,43,100,30,0.9422699456068137,7.842598396767307e-15
original,dan,10,44,100,30,0.9823595810505727,6.213971261633471e-22
original,dan,10,45,100,30,0.950839213960181,8.722038853202878e-16
original,dan,10,46,100,30,0.9798420141028134,3.961099540650456e-21
original,dan,10,47,100,30,0.9742477356935929,1.18054231670061e-19
original,dan,10,48,100,30,0.9615301079291169,3.0086411947234827e-17
original,dan,10,49,100,30,0.9273921872311166,1.7710973299209335e-13
original,dan,10,50,100,30,0.9462010418075342,2.9942272366230654e-15
original,dan,10,51,100,30,0.9749253556347022,8.16127846164729e-20
original,dan,10,52,100,30,0.9730565994841127,2.2071108478693956e-19
original,dan,10,53,100,30,0.965558936366781,6.55445937315024e-18
original,dan,10,54,100,30,0.9634640706790479,1.4789047045449652e-17
original,dan,10,55,100,30,0.9513395115892155,7.581798433430123e-16
original,dan,10,56,100,30,0.9659940540045135,5.5004362363708995e-18
original,dan,10,57,100,30,0.9724451062441996,3.010524071761118e-19
original,dan,10,58,100,30,0.9691378937143572,1.4420831461206747e-18
original,dan,10,59,100,30,0.9615972401476209,2.937182161847251e-17
original,dan,10,60,100,30,0.9672119333878154,3.32588434484753e-18
original,dan,10,61,100,30,0.9433031710874068,6.129821884684076e-15
original,dan,10,62,100,30,0.9666094951513033,4.27559790175603e-18
original,dan,10,63,100,30,0.9601239933325119,4.9302649669789646e-17
original,dan,10,64,100,30,0.9747299531729794,9.087308834858594e-20
original,dan,10,65,100,30,0.95699100875877,1.3942108567738261e-16
original,dan,10,66,100,30,0.9453549633606877,3.705757546798251e-15
original,dan,10,67,100,30,0.9639562571856057,1.2268576758706265e-17
original,dan,10,68,100,30,0.9831412082875226,3.31047342275281e-22
original,dan,10,69,100,30,0.9784897237945889,9.749979252058996e-21
original,dan,10,70,100,30,0.9522227456429503,5.898967145006276e-16
original,dan,10,71,100,30,0.9681314037673211,2.2460761725171597e-18
original,dan,10,72,100,30,0.9711852373147244,5.586106380053904e-19
original,dan,10,73,100,30,0.9579104364600399,1.0361187199190824e-16
original,dan,10,74,100,30,0.9389842194624832,1.6677593945142763e-14
original,dan,10,75,100,30,0.9636923306828258,1.3565830549487119e-17
original,dan,10,76,100,30,0.9660185328539717,5.446083776080092e-18
original,dan,10,77,100,30,0.951112723396414,8.080401036056889e-16
original,dan,10,78,100,30,0.9719165423842016,3.9152354807166336e-19
original,dan,10,79,100,30,0.9785421935627824,9.425273609154533e-21
original,dan,10,80,100,30,0.9564670513321308,1.6464355373753427e-16
original,dan,10,81,100,30,0.961232821374155,3.3448661825043917e-17
original,dan,10,82,100,30,0.9743331461684447,1.1274835180243958e-19
original,dan,10,83,100,30,0.9647443984011296,9.046474174401633e-18
original,dan,10,84,100,30,0.9559634278648861,1.9280913359124798e-16
original,dan,10,85,100,30,0.9528707039130723,4.892111442712483e-16
original,dan,10,86,100,30,0.9642814322332515,1.0828364373352783e-17
original,dan,10,87,100,30,0.9844666031273585,1.0606380390700468e-22
original,dan,10,88,100,30,0.9705147933417645,7.676576219350721e-19
original,dan,10,89,100,30,0.9698743040399551,1.033042890953817e-18
original,dan,10,90,100,30,0.9683046437213936,2.083268588252963e-18
original,dan,10,91,100,30,0.9721215557766908,3.537986665100238e-19
original,dan,10,92,100,30,0.9806765604239002,2.2027034119169655e-21
original,dan,10,93,100,30,0.9683260395582496,2.063938182410377e-18
original,dan,10,94,100,30,0.9698394269777365,1.0496879708428161e-18
original,dan,10,95,100,30,0.9510560708547093,8.209603357192539e-16
original,dan,10,96,100,30,0.9304380425053841,9.907516569087397e-14
original,dan,10,97,100,30,0.9502191219918451,1.0355238649958502e-15
original,dan,10,98,100,30,0.9726221362334925,2.7537574849498483e-19
original,dan,10,99,100,30,0.9734145269646937,1.8342825869076855e-19
original,dan,10,100,100,30,0.9763353865761061,3.6611579128921026e-20
original,dan,10,101,100,30,0.9714020851231197,5.032205525833573e-19
original,dan,10,102,100,30,0.970816704409216,6.658795179773082e-19
original,dan,10,103,100,30,0.9243035850332916,3.1125595413348485e-13
original,dan,10,104,100,30,0.9683661110392132,2.0281813254029815e-18
original,dan,10,105,100,30,0.9712446746742879,5.428916377993538e-19
original,dan,10,106,100,30,0.9578460504137453,1.0581093830160519e-16
original,dan,10,107,100,30,0.9295135524158401,1.1850185756246847e-13
original,dan,10,108,100,30,0.9548256865327209,2.736293210522691e-16
original,dan,10,109,100,30,0.945238736589756,3.814885815931462e-15
original,dan,10,110,100,30,0.9513803298195931,7.495140198303589e-16
original,dan,10,111,100,30,0.9514966136376473,7.253265417645644e-16
original,dan,10,112,100,30,0.9753113696089294,6.583510691382133e-20
original,dan,10,113,100,30,0.9559045872005516,1.9637590622486427e-16
original,dan,10,114,100,30,0.9807204810336115,2.1342111393211522e-21
original,dan,10,115,100,30,0.9764263683288052,3.4708816503660427e-20
original,dan,10,116,100,30,0.9651307671247389,7.771645667964663e-18
original,dan,10,117,100,30,0.9689833430485236,1.5450744388076335e-18
original,dan,10,118,100,30,0.9679652841613973,2.4131912181321384e-18
original,dan,10,119,100,30,0.9563952824261376,1.6840983204296376e-16
original,dan,10,120,100,30,0.9586534753848975,8.111630090461285e-17
original,dan,10,121,100,30,0.9495834315079489,1.2319630034284282e-15
original,dan,10,122,100,30,0.9647359702754771,9.076326665380717e-18
original,dan,10,123,100,30,0.955892079982895,1.9714189038629647e-16
original,dan,10,124,100,30,0.9644119436756855,1.0295690421354651e-17
original,dan,10,125,100,30,0.9609357459959714,3.7153277459591745e-17
original,dan,10,126,100,30,0.9599228007500884,5.283607123781022e-17
original,dan,10,127,100,30,0.9542176931450641,3.287104603642601e-16
original,dan,10,128,100,30,0.9734074085474819,1.841090073478795e-19
original,dan,10,129,100,30,0.9447541111891247,4.302729676456557e-15
original,dan,10,130,100,30,0.9532682724308028,4.355703491248304e-16
original,dan,10,131,100,30,0.9693817607037043,1.2924291914331508e-18
original,dan,10,132,100,30,0.9799754789968099,3.612272746561444e-21
original,dan,10,133,100,30,0.9475587784109057,2.111216738020875e-15
original,dan,10,134,100,30,0.9537601238933313,3.76746184065136e-16
original,dan,10,135,100,30,0.9594447504087893,6.219338626963382e-17
original,dan,10,136,100,30,0.9617364900145211,2.7939411203331425e-17
original,dan,10,137,100,30,0.9764297189883906,3.464052465080793e-20
original,dan,10,138,100,30,0.952587275404278,5.31115693822721e-16
original,dan,10,139,100,30,0.9583659866458131,8.922083893793034e-17
original,dan,10,140,100,30,0.9783763384141735,1.0487393594918755e-20
original,dan,10,141,100,30,0.9793177075139049,5.656441945430722e-21
original,dan,10,142,100,30,0.9602071705669447,4.7906845190256893e-17
original,dan,10,143,100,30,0.9166799420784527,1.1369537168705734e-12
original,dan,10,144,100,30,0.9339223509409995,4.931585684781844e-14
original,dan,10,145,100,30,0.9796327976265256,4.571291743927061e-21
original,dan,10,146,100,30,0.9577334294136177,1.0976163608801733e-16
original,dan,10,147,100,30,0.9545355121336409,2.987534387933173e-16
original,dan,10,148,100,30,0.9564096039738073,1.6765195797609776e-16
original,dan,10,149,100,30,0.9623482100924817,2.2380401872500107e-17
original,dan,10,150,100,30,0.9754175459807638,6.202056085048301e-20
original,dan,10,151,100,30,0.9779801995984304,1.3489370835026223e-20
original,dan,10,152,100,30,0.9546789318288996,2.860804444855531e-16
original,dan,10,153,100,30,0.9806063380337938,2.316460222436282e-21
original,dan,10,154,100,30,0.9466871646096419,2.644888179136872e-15
original,dan,10,155,100,30,0.968680425832419,1.766982498349564e-18
original,dan,10,156,100,30,0.9644958346732786,9.966221973703005e-18
original,dan,10,157,100,30,0.9721456031859161,3.4960165373799235e-19
original,dan,10,158,100,30,0.9623160648820787,2.264490202326715e-17
original,dan,10,159,100,30,0.9721109844226379,3.5565842806428524e-19
original,dan,10,160,100,30,0.9622641799129684,2.3077941394859947e-17
original,dan,10,161,100,30,0.9674947037614505,2.9512059772398448e-18
original,dan,10,162,100,30,0.9629920009061999,1.764949032681176e-17
original,dan,10,163,100,30,0.9020567801092662,9.97155010306178e-12
original,dan,10,164,100,30,0.9637836901787038,1.3103054952796022e-17
original,dan,10,165,100,30,0.9496043352220903,1.224989961050277e-15
original,dan,10,166,100,30,0.9786847721912463,8.59287259718579e-21
original,dan,10,167,100,30,0.9768621194162664,2.680149290194243e-20
original,dan,10,168,100,30,0.9776468938597289,1.6612992820819455e-20
original,dan,10,169,100,30,0.9510976383942736,8.114618966357779e-16
original,dan,10,170,100,30,0.9786059761897881,9.044066350689501e-21
original,dan,10,171,100,30,0.950656652830965,9.17621074052295e-16
original,dan,10,172,100,30,0.9407624828071475,1.1145807700030722e-14
original,dan,10,173,100,30,0.9615539657860229,2.9830632630553595e-17
original,dan,10,174,100,30,0.9727052418435906,2.6403592327065307e-19
original,dan,10,175,100,30,0.9380816001672914,2.036923959535179e-14
original,dan,10,176,100,30,0.9581348637872596,9.62731497032635e-17
original,dan,10,177,100,30,0.9683214686448282,2.0680538324063627e-18
original,dan,10,178,100,30,0.966440582238147,4.5837951087659764e-18
original,dan,10,179,100,30,0.9729006013632183,2.3906149301179494e-19
original,dan,10,180,100,30,0.9714786460417223,4.849125565344965e-19
original,dan,10,181,100,30,0.9718332811738635,4.078827187696916e-19
original,dan,10,182,100,30,0.9788728489773593,7.598922253609676e-21
original,dan,10,183,100,30,0.9677325443797391,2.666757641236043e-18
original,dan,10,184,100,30,0.9643069148283708,1.0722395004893616e-17
original,dan,10,185,100,30,0.9562612486240815,1.7565803161026347e-16
original,dan,10,186,100,30,0.9691354537622737,1.4436584533376047e-18
original,dan,10,187,100,30,0.9558520279240589,1.9961346282322434e-16
original,dan,10,188,100,30,0.9727651437202252,2.561323801711093e-19
original,dan,10,189,100,30,0.9719036605695184,3.9401415137683887e-19
original,dan,10,190,100,30,0.9886446568173164,1.3542987481472203e-24
original,dan,10,191,100,30,0.976589429207579,3.1526158366827603e-20
original,dan,10,192,100,30,0.9267465900028246,1.9966775300348284e-13
original,dan,10,193,100,30,0.9711991846614099,5.548846604527224e-19
original,dan,10,194,100,30,0.9684040709940458,1.994838843564326e-18
original,dan,10,195,100,30,0.9533705354545765,4.226819404787909e-16
original,dan,10,196,100,30,0.9768121457561437,2.761491878303536e-20
original,dan,10,197,100,30,0.9250199778799734,2.736865361070403e-13
original,dan,10,198,100,30,0.941669808106445,9.030617377095957e-15
original,dan,10,199,100,30,0.9469847815164452,2.4500396301558323e-15
original,dan,25,0,100,30,0.984676921395081,8.774843945706901e-23
original,dan,25,1,100,30,0.9852580628301035,5.125074039249811e-23
original,dan,25,2,100,30,0.9870653013431175,8.304540472611203e-24
original,dan,25,3,100,30,0.9828343926746963,4.25337638758048e-22
original,dan,25,4,100,30,0.9799470423649209,3.684114701375787e-21
original,dan,25,5,100,30,0.9927492893534137,2.6007462306426576e-27
original,dan,25,6,100,30,0.9908556162680707,6.621017129045263e-26
original,dan,25,7,100,30,0.9830894687026228,3.454491015865354e-22
original,dan,25,8,100,30,0.9900392209366021,2.181266539962569e-25
original,dan,25,9,100,30,0.9914784915937908,2.475373399959419e-26
original,dan,25,10,100,30,0.9881554319309231,2.437161836174981e-24
original,dan,25,11,100,30,0.993064975144907,1.3972579955182026e-27
original,dan,25,12,100,30,0.9899294355351916,2.541354740819325e-25
original,dan,25,13,100,30,0.9886275097022221,1.3830676537544012e-24
original,dan,25,14,100,30,0.9884393072486474,1.7383651960591105e-24
original,dan,25,15,100,30,0.9875079910271566,5.113899191863283e-24
original,dan,25,16,100,30,0.9884735947300732,1.6679083650529478e-24
original,dan,25,17,100,30,0.9909333415960926,5.878001313389065e-26
original,dan,25,18,100,30,0.9843128478834476,1.2163166679893942e-22
original,dan,25,19,100,30,0.9815145479818116,1.1902040893037794e-21
original,dan,25,20,100,30,0.9868304542424988,1.0668318873139642e-23
original,dan,25,21,100,30,0.9910435692897775,4.9562053744114026e-26
original,dan,25,22,100,30,0.9802977772110171,2.8839017452647063e-21
original,dan,25,23,100,30,0.987280803881376,6.572544074390349e-24
original,dan,25,24,100,30,0.9820992436869205,7.616451778777264e-22
original,dan,25,25,100,30,0.9885382127625312,1.542274596501788e-24
original,dan,25,26,100,30,0.9881997588438484,2.3131560772263533e-24
original,dan,25,27,100,30,0.9861377629136832,2.1773856754487683e-23
original,dan,25,28,100,30,0.9887664517137327,1.1653883530910118e-24
original,dan,25,29,100,30,0.9859563445668978,2.6092170929328892e-23
original,dan,25,30,100,30,0.9947742661698772,2.686469528401594e-29
original,dan,25,31,100,30,0.984650841986133,8.984824682590021e-23
original,dan,25,32,100,30,0.9869725769608176,9.172774308867728e-24
original,dan,25,33,100,30,0.9820563748384391,7.873759756071411e-22
original,dan,25,34,100,30,0.9921199593005479,8.308157529554278e-27
original,dan,25,35,100,30,0.9911245181836017,4.3667765465910814e-26
original,dan,25,36,100,30,0.9875306575939989,4.986202350126658e-24
original,dan,25,37,100,30,0.9889124855118508,9.711778113851938e-25
original,dan,25,38,100,30,0.9872026528463074,7.157650007533073e-24
original,dan,25,39,100,30,0.9812324186563931,1.4688153292577573e-21
original,dan,25,40,100,30,0.9837118662934644,2.0513182204540143e-22
original,dan,25,41,100,30,0.9915466509141079,2.2130618641415373e-26
original,dan,25,42,100,30,0.990350487635245,1.4012035825836634e-25
original,dan,25,43,100,30,0.9843312260478089,1.1966526842700167e-22
original,dan,25,44,100,30,0.9898459008688553,2.8514804958278377e-25
original,dan,25,45,100,30,0.9935322288228043,5.277206460584612e-28
original,dan,25,46,100,30,0.9879434216815334,3.1202588818234033e-24
original,dan,25,47,100,30,0.9863863034397181,1.6927491571850576e-23
original,dan,25,48,100,30,0.991494033703542,2.4131390894388484e-26
original,dan,25,49,100,30,0.9905054530243411,1.118086981436151e-25
original,dan,25,50,100,30,0.993505284115487,5.5925521144639125e-28
original,dan,25,51,100,30,0.9916499010648484,1.8644298448494534e-26
original,dan,25,52,100,30,0.9930202154388661,1.5285310094003791e-27
original,dan,25,53,100,30,0.9888882246253191,1.001207422739931e-24
original,dan,25,54,100,30,0.976792981221136,2.7932888097105045e-20
original,dan,25,55,100,30,0.986553159329171,1.4257834355921264e-23
original,dan,25,56,100,30,0.9907146602323824,8.195186127876219e-26
original,dan,25,57,100,30,0.987438842164362,5.522457150095853e-24
original,dan,25,58,100,30,0.9923334681758889,5.663122381224482e-27
original,dan,25,59,100,30,0.9908849237796375,6.331174913566294e-26
original,dan,25,60,100,30,0.9889004336622639,9.859892802611308e-25
original,dan,25,61,100,30,0.9843314999287932,1.1963618841632458e-22
original,dan,25,62,100,30,0.9841124632715952,1.4510735698478548e-22
original,dan,25,63,100,30,0.9752417409728008,6.845347990851967e-20
original,dan,25,64,100,30,0.990539964538093,1.0627378209088652e-25
original,dan,25,65,100,30,0.9879060380295963,3.257729216464745e-24
original,dan,25,66,100,30,0.9864483243726251,1.5885249553432788e-23
original,dan,25,67,100,30,0.986397028470392,1.6742841050915065e-23
original,dan,25,68,100,30,0.9887901521022191,1.131597857027415e-24
original,dan,25,69,100,30,0.9873695363894458,5.962156914289077e-24
original,dan,25,70,100,30,0.9873293141970397,6.2320144274917715e-24
original,dan,25,71,100,30,0.9879371977830361,3.1427659504364192e-24
original,dan,25,72,100,30,0.9840956511605307,1.4725680622419765e-22
original,dan,25,73,100,30,0.9883778968580946,1.8715029424872628e-24
original,dan,25,74,100,30,0.9884836396695748,1.647774663521747e-24
original,dan,25,75,100,30,0.9844507471594095,1.0757921057039024e-22
original,dan,25,76,100,30,0.9834012853192635,2.6671819225270716e-22
original,dan,25,77,100,30,0.979645053335882,4.533272056736438e-21
original,dan,25,78,100,30,0.9856093762640414,3.664229071843465e-23
original,dan,25,79,100,30,0.9798922092718639,3.826399108400589e-21
original,dan,25,80,100,30,0.9792645574137374,5.8614745421185344e-21
original,dan,25,81,100,30,0.9870748554637762,8.21955347448443e-24
original,dan,25,82,100,30,0.9910316105266105,5.04929237589186e-26
original,dan,25,83,100,30,0.9833588859494736,2.76344754047338e-22
original,dan,25,84,100,30,0.9869162538486576,9.74051136347822e-24
original,dan,25,85,100,30,0.9904934651989097,1.1379306638689535e-25
original,dan,25,86,100,30,0.9870444928644125,8.492467669367676e-24
original,dan,25,87,100,30,0.9856046277034106,3.6810862103899287e-23
original,dan,25,88,100,30,0.9952094451378722,7.973894640106619e-30
original,dan,25,89,100,30,0.9913663492264944,2.9705450708207584e-26
original,dan,25,90,100,30,0.9883729053336544,1.8827300698232717e-24
original,dan,25,91,100,30,0.9892110416687468,6.639319926199309e-25
original,dan,25,92,100,30,0.9869837279087905,9.064079153173322e-24
original,dan,25,93,100,30,0.9864745727038531,1.5462352305582597e-23
original,dan,25,94,100,30,0.9875970779062597,4.628842185908774e-24
original,dan,25,95,100,30,0.9854160686144041,4.4116387965824945e-23
original,dan,25,96,100,30,0.9900458999077404,2.160967118004515e-25
original,dan,25,97,100,30,0.9836800443724018,2.1077333076417962e-22
original,dan,25,98,100,30,0.9904363587240623,1.2370270596223047e-25
original,dan,25,99,100,30,0.9902101833571237,1.7135573950597533e-25
original,dan,25,100,100,30,0.9896788730936216,3.5795497563290463e-25
original,dan,25,101,100,30,0.9868298676203052,1.0674935498187441e-23
original,dan,25,102,100,30,0.9825202462398088,5.472246691470462e-22
original,dan,25,103,100,30,0.9869846781100912,9.054872426414035e-24
original,dan,25,104,100,30,0.9853859669648939,4.540009236762295e-23
original,dan,25,105,100,30,0.9849339808979584,6.935152799545597e-23
original,dan,25,106,100,30,0.984878830542248,7.296689861681787e-23
original,dan,25,107,100,30,0.9841135635793522,1.4496770098365538e-22
original,dan,25,108,100,30,0.9800927501469959,3.329508212228348e-21
original,dan,25,109,100,30,0.9787717848273546,8.118930684466657e-21
original,dan,25,110,100,30,0.9900745756790424,2.0757887249690983e-25
original,dan,25,111,100,30,0.9931154532051554,1.261806284556428e-27
original,dan,25,112,100,30,0.9840477386500229,1.5354558547019043e-22
original,dan,25,113,100,30,0.986690803748515,1.2355500809562946e-23
original,dan,25,114,100,30,0.9923948270904854,5.0624442501865295e-27
original,dan,25,115,100,30,0.9875181538704864,5.056274056165142e-24
original,dan,25,116,100,30,0.9913504072426002,3.047968960518022e-26
original,dan,25,117,100,30,0.9835378705985205,2.377808452869694e-22
original,dan,25,118,100,30,0.9905396783052549,1.0631862299831852e-25
original,dan,25,119,100,30,0.9907968149592721,7.240042589124444e-26
original,dan,25,120,100,30,0.9861088684202244,2.2413981115553066e-23
original,dan,25,121,100,30,0.9816542049667702,1.0712303868214341e-21
original,dan,25,122,100,30,0.9902341638076972,1.6559621147713753e-25
original,dan,25,123,100,30,0.9923805858308282,5.1963386513338736e-27
original,dan,25,124,100,30,0.9905731927458228,1.0118593085426277e-25
original,dan,25,125,100,30,0.9874724501811357,5.320248481499066e-24
original,dan,25,126,100,30,0.9901848113673862,1.7765147357605666e-25
original,dan,25,127,100,30,0.9862106089903216,2.0234532184968524e-23
original,dan,25,128,100,30,0.9913932619596848,2.843968769279013e-26
original,dan,25,129,100,30,0.9897493493517542,3.2535339227191906e-25
original,dan,25,130,100,30,0.990834693069548,6.835422354488601e-26
original,dan,25,131,100,30,0.9860259975315626,2.4348038345598064e-23
original,dan,25,132,100,30,0.9906123744833233,9.547718512425157e-26
original,dan,25,133,100,30,0.9797282838467792,4.2827302899314884e-21
original,dan,25,134,100,30,0.9903876415827766,1.327834028910956e-25
original,dan,25,135,100,30,0.991888138138707,1.2450333240869932e-26
original,dan,25,136,100,30,0.982353084275912,6.245839498196312e-22
original,dan,25,137,100,30,0.9873982352347904,5.776283626860201e-24
original,dan,25,138,100,30,0.99092805941894,5.925935428630299e-26
original,dan,25,139,100,30,0.9864579245137444,1.57293487699187e-23
original,dan,25,140,100,30,0.9832332460138774,3.0679626678166585e-22
original,dan,25,141,100,30,0.9865909955367774,1.3709503138159323e-23
original,dan,25,142,100,30,0.9896705410476844,3.620034718029303e-25
original,dan,25,143,100,30,0.9907942714785397,7.267993349776026e-26
original,dan,25,144,100,30,0.9820805765838454,7.7275217622643505e-22
original,dan,25,145,100,30,0.9893496002600245,5.544978821699207e-25
original,dan,25,146,100,30,0.985002047750292,6.511857806215445e-23
original,dan,25,147,100,30,0.9850946444243174,5.974419797734031e-23
original,dan,25,148,100,30,0.9834650242996735,2.5283036238652107e-22
original,dan,25,149,100,30,0.9780595857788472,1.2830486561305702e-20
original,dan,25,150,100,30,0.9874568489152918,5.413246357045537e-24
original,dan,25,151,100,30,0.9868227606612393,1.0755399305199846e-23
original,dan,25,152,100,30,0.9862322541668797,1.9796986750357603e-23
original,dan,25,153,100,30,0.9885778972262185,1.4695314607033289e-24
original,dan,25,154,100,30,0.992200025941245,7.204804100085864e-27
original,dan,25,155,100,30,0.9886116771191557,1.4101335769599526e-24
original,dan,25,156,100,30,0.9745898193832371,9.810378768646804e-20
original,dan,25,157,100,30,0.9873540416847972,6.064803078594901e-24
original,dan,25,158,100,30,0.9863159784605572,1.818585636418788e-23
original,dan,25,159,100,30,0.9743658815035507,1.1077402598207767e-19
original,dan,25,160,100,30,0.9844615959364915,1.0654020473143506e-22
original,dan,25,161,100,30,0.9821434113863878,7.359521387590637e-22
original,dan,25,162,100,30,0.9814046943207348,1.2922754024818243e-21
original,dan,25,163,100,30,0.9884609086882696,1.6936619750306648e-24
original,dan,25,164,100,30,0.9886298021911252,1.3791888211596839e-24
original,dan,25,165,100,30,0.9871621455055,7.479595218954461e-24
original,dan,25,166,100,30,0.9835922796936477,2.2708713428203095e-22
original,dan,25,167,100,30,0.9907955574821815,7.253848736497102e-26
original,dan,25,168,100,30,0.990513877984309,1.1043336516731986e-25
original,dan,25,169,100,30,0.9876232219734594,4.4948152291572186e-24
original,dan,25,170,100,30,0.9874433809319622,5.494738522705274e-24
original,dan,25,171,100,30,0.9902630418067233,1.5889893656249356e-25
original,dan,25,172,100,30,0.9827369448052977,4.601441450868728e-22
original,dan,25,173,100,30,0.980911511742027,1.858659219405576e-21
original,dan,25,174,100,30,0.9758221507050269,4.9284156771819236e-20
original,dan,25,175,100,30,0.9904962462282365,1.133298273698025e-25
original,dan,25,176,100,30,0.9874207891689062,5.633997525256436e-24
original,dan,25,177,100,30,0.9856416532532839,3.551531464000587e-23
original,dan,25,178,100,30,0.9834719476993168,2.5136293946293436e-22
original,dan,25,179,100,30,0.9924449788511347,4.615992765257109e-27
original,dan,25,180,100,30,0.9863417879693309,1.7714283415648165e-23
original,dan,25,181,100,30,0.9804176764437798,2.6496290245124616e-21
original,dan,25,182,100,30,0.990895879896424,6.225879752306306e-26
original,dan,25,183,100,30,0.9892830315389513,6.047951363363292e-25
original,dan,25,184,100,30,0.990399312018125,1.3055342409621506e-25
original,dan,25,185,100,30,0.9755325307143283,5.812130862214724e-20
original,dan,25,186,100,30,0.9818577646255359,9.174516788092968e-22
original,dan,25,187,100,30,0.9846520485871468,8.97500768955865e-23
original,dan,25,188,100,30,0.9878861996913931,3.332942303291514e-24
original,dan,25,189,100,30,0.983712606284553,2.0500231586655431e-22
original,dan,25,190,100,30,0.9899369535729625,2.5150374870707277e-25
original,dan,25,191,100,30,0.9837935721900724,1.9128172994776088e-22
original,dan,25,192,100,30,0.9878917046785907,3.3119113448669375e-24
original,dan,25,193,100,30,0.9741480994868624,1.245359653287112e-19
original,dan,25,194,100,30,0.9855988326296936,3.701755880584258e-23
original,dan,25,195,100,30,0.9888761754330174,1.0164397549574262e-24
original,dan,25,196,100,30,0.983125648204337,3.3531884156299493e-22
original,dan,25,197,100,30,0.9892972228434732,5.937303963134326e-25
original,dan,25,198,100,30,0.9909951497742834,5.343213669247058e-26
original,dan,25,199,100,30,0.9920955762161715,8.674108191661615e-27
original,dan,50,0,100,30,0.9940309541812166,1.721176580230662e-28
original,dan,50,1,100,30,0.9958960357545604,9.181878275033877e-31
original,dan,50,2,100,30,0.9953869628336692,4.7049506517472095e-30
original,dan,50,3,100,30,0.9962208459092944,2.9004357563099885e-31
original,dan,50,4,100,30,0.996241761938401,2.6839477692026708e-31
original,dan,50,5,100,30,0.9981239981863954,1.6189183489779928e-35
original,dan,50,6,100,30,0.9954010041722348,4.508758874086007e-30
original,dan,50,7,100,30,0.9964307814279623,1.3047186981110838e-31
original,dan,50,8,100,30,0.9954972470352689,3.355232094825395e-30
original,dan,50,9,100,30,0.9939691311663711,1.9875208597156647e-28
original,dan,50,10,100,30,0.9953521321221191,5.2263513466355654e-30
original,dan,50,11,100,30,0.9955997984942477,2.431730917112481e-30
original,dan,50,12,100,30,0.9969078167544405,1.7557581462916654e-32
original,dan,50,13,100,30,0.9953495486445738,5.2670862091807534e-30
original,dan,50,14,100,30,0.994023593048326,1.7510537511321098e-28
original,dan,50,15,100,30,0.9942262156769079,1.081733417549214e-28
original,dan,50,16,100,30,0.994372695483209,7.555534577182595e-29
