"language","k","rep","mae_all","err_all","mae_heldout","err_heldout","sd_language"
"hin",20,3,0.0190900131026533,0.00051999809511627,0.0194260297780528,-0.00257260002304593,0.252183517583429
"isl",1,1,0.0608677099732887,0.0386247105179279,0.060537054757762,0.0376550270582333,0.24126126956002
"isl",1,2,0.113371595343218,-0.106669559707079,0.113039821811176,-0.106278363337176,0.34008407889424
"isl",1,3,0.114597831173308,0.114180106170973,0.113279604023259,0.112784544223881,0.277888989628981
"isl",2,1,0.0625042849256088,-0.0324081773963827,0.0629709853249493,-0.0337113998274747,0.27040914663572
"isl",2,2,0.0758898964399562,-0.0316514003136972,0.0751217196733819,-0.0293224866794005,0.256788457173515
"isl",2,3,0.114728301367002,0.113205795015347,0.112385755314463,0.110483769049609,0.278337938465167
"isl",5,1,0.079326391974094,-0.0749862363116913,0.0815489544233897,-0.0771915388668886,0.320232847045246
"isl",5,2,0.0602249834153827,0.0254552523230155,0.0594118640621327,0.0235870353827025,0.239107193720419
"isl",5,3,0.0605102302904076,0.0551471880388729,0.0587001223837664,0.0523935984945971,0.244085293691375
"isl",10,1,0.0486151965811919,-0.0389899711382111,0.0510289869873706,-0.0437145013654262,0.287183832769375
"isl",10,2,0.0483168649453366,0.00587800778071956,0.0467400279513764,0.00295729787793603,0.247063829741002
"isl",10,3,0.0326199370027537,-0.00301162695449286,0.0336156423139177,-0.0072438506062138,0.245802646459925
"isl",20,1,0.0225233340442834,-0.00141222332115232,0.0237860801461054,-0.0100744479162753,0.25864871602727
"isl",20,2,0.0277989534096364,0.00286195947323092,0.0262033915765569,-0.000317491887048438,0.249480858842176
"isl",20,3,0.0212018192984494,0.0112705476810719,0.0196526765753574,0.00303669737016193,0.242065305127274
"ita",1,1,0.0863287317474007,0.0840077872507351,0.0862461077359942,0.0839854325572239,0.459019667986479
"ita",1,2,0.147363357216811,-0.147363357216811,0.145664644216061,-0.145664644216061,0.28783556362756
"ita",1,3,0.0486471262452074,-0.00780135719502839,0.0483280675025217,-0.00740242814776793,0.266069845219224
