model,language,tokenizer_fertility,english_fertility_tokens_per_character
OLMo-2-0425-1B-Instruct,ukr,0.7268559666931749,0.2992618987019598
OLMo-2-0425-1B-Instruct,uncorrected_isl,0.5279846264712947,0.2992618987019598
OLMo-2-0425-1B-Instruct,zho,1.4850291804110631,0.2992618987019598
OLMo-2-1124-13B-Instruct,ara,0.8919114777858298,0.2992618987019598
OLMo-2-1124-13B-Instruct,dan,0.4123695976154992,0.2992618987019598
OLMo-2-1124-13B-Instruct,deu,0.3596510748141884,0.2992618987019598
OLMo-2-1124-13B-Instruct,eng,0.2992618987019598,0.2992618987019598
OLMo-2-1124-13B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
OLMo-2-1124-13B-Instruct,est,0.4779027325638749,0.2992618987019598
OLMo-2-1124-13B-Instruct,fra,0.3641796369798867,0.2992618987019598
OLMo-2-1124-13B-Instruct,hin,1.2682571572074337,0.2992618987019598
OLMo-2-1124-13B-Instruct,isl,0.5279846264712947,0.2992618987019598
OLMo-2-1124-13B-Instruct,ita,0.3816052297076448,0.2992618987019598
OLMo-2-1124-13B-Instruct,jpn,1.014064190407501,0.2992618987019598
OLMo-2-1124-13B-Instruct,mar,1.2391908156652165,0.2992618987019598
OLMo-2-1124-13B-Instruct,nld,0.3823884197828709,0.2992618987019598
OLMo-2-1124-13B-Instruct,nob,0.4104608595356301,0.2992618987019598
OLMo-2-1124-13B-Instruct,rus,0.5740723300056508,0.2992618987019598
OLMo-2-1124-13B-Instruct,ukr,0.7268559666931749,0.2992618987019598
OLMo-2-1124-13B-Instruct,uncorrected_isl,0.5279846264712947,0.2992618987019598
OLMo-2-1124-13B-Instruct,zho,1.4850291804110631,0.2992618987019598
OLMo-2-1124-7B-Instruct,ara,0.8919114777858298,0.2992618987019598
OLMo-2-1124-7B-Instruct,dan,0.4123695976154992,0.2992618987019598
OLMo-2-1124-7B-Instruct,deu,0.3596510748141884,0.2992618987019598
OLMo-2-1124-7B-Instruct,eng,0.2992618987019598,0.2992618987019598
OLMo-2-1124-7B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
OLMo-2-1124-7B-Instruct,est,0.4779027325638749,0.2992618987019598
OLMo-2-1124-7B-Instruct,fra,0.3641796369798867,0.2992618987019598
OLMo-2-1124-7B-Instruct,hin,1.2682571572074337,0.2992618987019598
OLMo-2-1124-7B-Instruct,isl,0.5279846264712947,0.2992618987019598
OLMo-2-1124-7B-Instruct,ita,0.3816052297076448,0.2992618987019598
OLMo-2-1124-7B-Instruct,jpn,1.014064190407501,0.2992618987019598
OLMo-2-1124-7B-Instruct,mar,1.2391908156652165,0.2992618987019598
OLMo-2-1124-7B-Instruct,nld,0.3823884197828709,0.2992618987019598
OLMo-2-1124-7B-Instruct,nob,0.4104608595356301,0.2992618987019598
OLMo-2-1124-7B-Instruct,rus,0.5740723300056508,0.2992618987019598
OLMo-2-1124-7B-Instruct,ukr,0.7268559666931749,0.2992618987019598
OLMo-2-1124-7B-Instruct,uncorrected_isl,0.5279846264712947,0.2992618987019598
OLMo-2-1124-7B-Instruct,zho,1.4850291804110631,0.2992618987019598
Olmo-3-32B-Think (reasoning on),ara,0.8919114777858298,0.2992618987019598
Olmo-3-32B-Think (reasoning on),dan,0.4123695976154992,0.2992618987019598
Olmo-3-32B-Think (reasoning on),deu,0.3596510748141884,0.2992618987019598
Olmo-3-32B-Think (reasoning on),eng,0.2992618987019598,0.2992618987019598
Olmo-3-32B-Think (reasoning on),eng_metric,0.2981002425222312,0.2992618987019598
Olmo-3-32B-Think (reasoning on),est,0.4779027325638749,0.2992618987019598
Olmo-3-32B-Think (reasoning on),fra,0.3641796369798867,0.2992618987019598
Olmo-3-32B-Think (reasoning on),hin,1.2682571572074337,0.2992618987019598
Olmo-3-32B-Think (reasoning on),isl,0.5279846264712947,0.2992618987019598
Olmo-3-32B-Think (reasoning on),ita,0.3816052297076448,0.2992618987019598
Olmo-3-32B-Think (reasoning on),jpn,1.014064190407501,0.2992618987019598
Olmo-3-32B-Think (reasoning on),mar,1.2391908156652165,0.2992618987019598
Olmo-3-32B-Think (reasoning on),nld,0.3823884197828709,0.2992618987019598
Olmo-3-32B-Think (reasoning on),nob,0.4104608595356301,0.2992618987019598
Olmo-3-32B-Think (reasoning on),rus,0.5740723300056508,0.2992618987019598
Olmo-3-32B-Think (reasoning on),ukr,0.7268559666931749,0.2992618987019598
Olmo-3-32B-Think (reasoning on),zho,1.4850291804110631,0.2992618987019598
Olmo-3-7B-Instruct,ara,0.8919114777858298,0.2992618987019598
Olmo-3-7B-Instruct,dan,0.4123695976154992,0.2992618987019598
Olmo-3-7B-Instruct,deu,0.3596510748141884,0.2992618987019598
Olmo-3-7B-Instruct,eng,0.2992618987019598,0.2992618987019598
Olmo-3-7B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
Olmo-3-7B-Instruct,est,0.4779027325638749,0.2992618987019598
Olmo-3-7B-Instruct,fra,0.3641796369798867,0.2992618987019598
Olmo-3-7B-Instruct,hin,1.2682571572074337,0.2992618987019598
Olmo-3-7B-Instruct,isl,0.5279846264712947,0.2992618987019598
Olmo-3-7B-Instruct,ita,0.3816052297076448,0.2992618987019598
Olmo-3-7B-Instruct,jpn,1.014064190407501,0.2992618987019598
Olmo-3-7B-Instruct,mar,1.2391908156652165,0.2992618987019598
Olmo-3-7B-Instruct,nld,0.3823884197828709,0.2992618987019598
Olmo-3-7B-Instruct,nob,0.4104608595356301,0.2992618987019598
Olmo-3-7B-Instruct,rus,0.5740723300056508,0.2992618987019598
Olmo-3-7B-Instruct,ukr,0.7268559666931749,0.2992618987019598
Olmo-3-7B-Instruct,zho,1.4850291804110631,0.2992618987019598
Olmo-3-7B-Think (reasoning on),ara,0.8919114777858298,0.2992618987019598
Olmo-3-7B-Think (reasoning on),dan,0.4123695976154992,0.2992618987019598
Olmo-3-7B-Think (reasoning on),deu,0.3596510748141884,0.2992618987019598
Olmo-3-7B-Think (reasoning on),eng,0.2992618987019598,0.2992618987019598
Olmo-3-7B-Think (reasoning on),eng_metric,0.2981002425222312,0.2992618987019598
Olmo-3-7B-Think (reasoning on),est,0.4779027325638749,0.2992618987019598
Olmo-3-7B-Think (reasoning on),fra,0.3641796369798867,0.2992618987019598
Olmo-3-7B-Think (reasoning on),hin,1.2682571572074337,0.2992618987019598
Olmo-3-7B-Think (reasoning on),isl,0.5279846264712947,0.2992618987019598
Olmo-3-7B-Think (reasoning on),ita,0.3816052297076448,0.2992618987019598
Olmo-3-7B-Think (reasoning on),jpn,1.014064190407501,0.2992618987019598
Olmo-3-7B-Think (reasoning on),mar,1.2391908156652165,0.2992618987019598
Olmo-3-7B-Think (reasoning on),nld,0.3823884197828709,0.2992618987019598
Olmo-3-7B-Think (reasoning on),nob,0.4104608595356301,0.2992618987019598
Olmo-3-7B-Think (reasoning on),rus,0.5740723300056508,0.2992618987019598
Olmo-3-7B-Think (reasoning on),ukr,0.7268559666931749,0.2992618987019598
Olmo-3-7B-Think (reasoning on),zho,1.4850291804110631,0.2992618987019598
Olmo-3.1-32B-Instruct,ara,0.8919114777858298,0.2992618987019598
Olmo-3.1-32B-Instruct,dan,0.4123695976154992,0.2992618987019598
