model_raw,model,family,params_b,language,split,accuracy,stderr,n_problems,english_accuracy,english_stderr,english_n_problems,transfer_gap,transfer_gap_stderr,performance_recovered,performance_recovered_stderr,language_name,typological_distance_from_english,typological_feature_set,common_crawl_language,common_crawl_crawl,common_crawl_pages,resource_source_path,log10_common_crawl_pages,tokenizer_repo,fertility_tokens_per_character,english_fertility_tokens_per_character,normalized_fertility,n_matched_questions,token_count,non_whitespace_character_count,english_token_count,english_non_whitespace_character_count
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,nld,original,0.07,0.0256432399976242,100,0.42,0.0496044963748858,100,0.35,0.05584068246522254,0.16666666666666669,0.06415002990995824,nld,0.07570690126642576,URIEL syntax_knn,nld,CC-MAIN-2026-21,39513234,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.596742576400662,Qwen/Qwen2.5-0.5B-Instruct,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,nld,synthetic,0.0675,0.0056113829676297,2000,0.3865,0.0108911975508685,2000,0.319,0.012251767337876144,0.17464424320827943,0.01532986631759118,nld,0.07570690126642576,URIEL syntax_knn,nld,CC-MAIN-2026-21,39513234,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.596742576400662,Qwen/Qwen2.5-0.5B-Instruct,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,nob,original,0.01,0.01,100,0.42,0.0496044963748858,100,0.41,0.05060243137049897,0.02380952380952381,0.02397500841117199,Norwegian Bokmal,0.10138170956458059,URIEL syntax_knn,nor,CC-MAIN-2026-21,7148610,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.854221604316353,Qwen/Qwen2.5-0.5B-Instruct,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,nob,synthetic,0.017,0.0028913110935905,2000,0.3865,0.0108911975508685,2000,0.3695,0.011268445497581443,0.04398447606727038,0.00758273562905482,Norwegian Bokmal,0.10138170956458059,URIEL syntax_knn,nor,CC-MAIN-2026-21,7148610,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.854221604316353,Qwen/Qwen2.5-0.5B-Instruct,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,rus,original,0.04,0.0196946385566932,100,0.42,0.0496044963748858,100,0.38,0.05337119867948297,0.09523809523809525,0.048222204534718836,Russian,0.18824593690905445,URIEL syntax_knn,rus,CC-MAIN-2026-21,138631119,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.141860728782362,Qwen/Qwen2.5-0.5B-Instruct,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,rus,synthetic,0.039,0.0043299970481766,2000,0.3865,0.0108911975508685,2000,0.34750000000000003,0.011720369385359067,0.10090556274256145,0.01155830574436866,Russian,0.18824593690905445,URIEL syntax_knn,rus,CC-MAIN-2026-21,138631119,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.141860728782362,Qwen/Qwen2.5-0.5B-Instruct,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,ukr,original,0.03,0.0171446607997765,100,0.42,0.0496044963748858,100,0.39,0.05248376372313109,0.07142857142857142,0.04168322844274296,Ukrainian,0.15273132616089036,URIEL syntax_knn,ukr,CC-MAIN-2026-21,17456210,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.2419499578829365,Qwen/Qwen2.5-0.5B-Instruct,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,ukr,synthetic,0.0145,0.0026736583971428,2000,0.3865,0.0108911975508685,2000,0.372,0.01121457236441302,0.037516170763260026,0.0069979291129998265,Ukrainian,0.15273132616089036,URIEL syntax_knn,ukr,CC-MAIN-2026-21,17456210,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.2419499578829365,Qwen/Qwen2.5-0.5B-Instruct,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,zho,original,0.16,0.036845294917747,100,0.42,0.0496044963748858,100,0.26,0.06179143806533241,0.380952380952381,0.09859185763315435,Chinese,0.2892275292349138,URIEL syntax_knn,zho,CC-MAIN-2026-21,102274716,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.009768282208015,Qwen/Qwen2.5-0.5B-Instruct,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,zho,synthetic,0.0835,0.00618732708916,2000,0.3865,0.0108911975508685,2000,0.303,0.012526020940438235,0.21604139715394569,0.017127092991538834,Chinese,0.2892275292349138,URIEL syntax_knn,zho,CC-MAIN-2026-21,102274716,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.009768282208015,Qwen/Qwen2.5-0.5B-Instruct,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,ara,original,0.16,0.0291980350798688,100,0.59,0.049431107042371,100,0.42999999999999994,0.05741044849119007,0.2711864406779661,0.054454557146176794,ara,0.34901322303461213,URIEL syntax_knn,ara,CC-MAIN-2026-21,14123579,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.149944763500101,Qwen/Qwen2.5-1.5B-Instruct,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,ara,synthetic,0.1165,0.0071756267886439,2000,0.5525,0.0095219330287658,2000,0.436,0.011922953846015048,0.21085972850678736,0.013486391674860067,ara,0.34901322303461213,URIEL syntax_knn,ara,CC-MAIN-2026-21,14123579,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.149944763500101,Qwen/Qwen2.5-1.5B-Instruct,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,dan,original,0.1633333333333333,0.0301492732191895,100,0.59,0.049431107042371,100,0.42666666666666664,0.05790002607149393,0.27683615819209034,0.056117802706852786,Danish,0.11992176734660287,URIEL syntax_knn,dan,CC-MAIN-2026-21,11404389,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.057072022533615,Qwen/Qwen2.5-1.5B-Instruct,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,dan,synthetic,0.148,0.0062902928303812,2000,0.5525,0.0095219330287658,2000,0.40449999999999997,0.011412054700896162,0.2678733031674208,0.012285541655406594,Danish,0.11992176734660287,URIEL syntax_knn,dan,CC-MAIN-2026-21,11404389,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.057072022533615,Qwen/Qwen2.5-1.5B-Instruct,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,deu,original,0.3333333333333333,0.0341647162127025,100,0.59,0.049431107042371,100,0.25666666666666665,0.06008878578677419,0.5649717514124294,0.07479081557581956,German,0.09745802098497969,URIEL syntax_knn,deu,CC-MAIN-2026-21,129221452,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.111334616692115,Qwen/Qwen2.5-1.5B-Instruct,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,deu,synthetic,0.331,0.0105249649616386,2000,0.5525,0.0095219330287658,2000,0.22149999999999997,0.01419302984031321,0.5990950226244345,0.02166786441473092,German,0.09745802098497969,URIEL syntax_knn,deu,CC-MAIN-2026-21,129221452,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.111334616692115,Qwen/Qwen2.5-1.5B-Instruct,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,est,original,0.04,0.0153741222957161,100,0.59,0.049431107042371,100,0.5499999999999999,0.051766765205080896,0.06779661016949153,0.026669726613359597,est,0.22659791675913576,URIEL syntax_knn,est,CC-MAIN-2026-21,3089989,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.489956933389947,Qwen/Qwen2.5-1.5B-Instruct,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,est,synthetic,0.028,0.0036898248472931,2000,0.5525,0.0095219330287658,2000,0.5245,0.010211856638633476,0.05067873303167421,0.006735286703719452,est,0.22659791675913576,URIEL syntax_knn,est,CC-MAIN-2026-21,3089989,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.489956933389947,Qwen/Qwen2.5-1.5B-Instruct,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,fra,original,0.25,0.0337099931231621,100,0.59,0.049431107042371,100,0.33999999999999997,0.059831412985136626,0.42372881355932207,0.06726641756658366,French,0.18824593690905445,URIEL syntax_knn,fra,CC-MAIN-2026-21,102728618,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.011691445624011,Qwen/Qwen2.5-1.5B-Instruct,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,fra,synthetic,0.2175,0.0092271038100999,2000,0.5525,0.0095219330287658,2000,0.33499999999999996,0.013259210132080309,0.3936651583710407,0.018026126801215615,French,0.18824593690905445,URIEL syntax_knn,fra,CC-MAIN-2026-21,102728618,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.011691445624011,Qwen/Qwen2.5-1.5B-Instruct,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,hin,original,0.065,0.0196625573518848,100,0.59,0.049431107042371,100,0.5249999999999999,0.053198219002617925,0.11016949152542374,0.0345809609014778,hin,0.3838046008442838,URIEL syntax_knn,hin,CC-MAIN-2026-21,4774018,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.678884052141607,Qwen/Qwen2.5-1.5B-Instruct,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,hin,synthetic,0.0385,0.0043032701596615,2000,0.5525,0.0095219330287658,2000,0.514,0.01044917904293606,0.06968325791855204,0.007880766618787732,hin,0.3838046008442838,URIEL syntax_knn,hin,CC-MAIN-2026-21,4774018,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,6.678884052141607,Qwen/Qwen2.5-1.5B-Instruct,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,isl,original,0.015,0.0085723303998882,100,0.59,0.049431107042371,100,0.575,0.05016890662471315,0.025423728813559324,0.014684677814860199,Icelandic,0.13127809128711687,URIEL syntax_knn,isl,CC-MAIN-2026-21,777022,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,5.890433315253091,Qwen/Qwen2.5-1.5B-Instruct,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,isl,synthetic,0.018,0.0029736208922129,2000,0.5525,0.0095219330287658,2000,0.5345,0.009975451358956451,0.032579185520361986,0.0054113275410722795,Icelandic,0.13127809128711687,URIEL syntax_knn,isl,CC-MAIN-2026-21,777022,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,5.890433315253091,Qwen/Qwen2.5-1.5B-Instruct,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,ita,original,0.36,0.0355902608401043,100,0.59,0.049431107042371,100,0.22999999999999998,0.060910598503881086,0.6101694915254238,0.07907054709509796,Italian,0.14220584589844,URIEL syntax_knn,ita,CC-MAIN-2026-21,53457335,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.728007304146603,Qwen/Qwen2.5-1.5B-Instruct,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,ita,synthetic,0.3365,0.0105683357185476,2000,0.5525,0.0095219330287658,2000,0.21599999999999997,0.014225221561164875,0.6090497737556562,0.021818924704096913,Italian,0.14220584589844,URIEL syntax_knn,ita,CC-MAIN-2026-21,53457335,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,7.728007304146603,Qwen/Qwen2.5-1.5B-Instruct,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,jpn,original,0.215,0.0342709052914414,100,0.59,0.049431107042371,100,0.375,0.06014922520639219,0.364406779661017,0.06562111740787785,jpn,0.4998069870609444,URIEL syntax_knn,jpn,CC-MAIN-2026-21,118455052,/work/multilingual-gsm-symbolic/paper/artifacts/figures/transfer_features/languages.csv,8.073553587717582,Qwen/Qwen2.5-1.5B-Instruct,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
